Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,,
FPix_BpO_D1_BLD6_PNL1_RNG1,,6B,M-I-1-08,6043,12,1Bc,1BC,6,PR033,,PB-20,J11,2,,,CI-A 049,P80,12,SN112498/0020,14,30201210004626,A,0x7e,0x10,+z down left 4,4,+z down left 2,2,8,green-3,29/30,4,b,1290,up center,,10,1,1,,,"top faces away from IP - is PNL2,  bottom faces towards IP - is PNL1",,,,,
FPix_BpO_D1_BLD7_PNL1_RNG1,,7B,M-Y-T-NJ,6042,11,1Bc,1BC,4,PR033,,PB-20,J11,2,,,CI-A 049,P80,13,SN112498/0057,14,30201210004626,A,0x7e,0x10,+z down left 4,3,+z down left 2,2,9,green-3,5/6,5,t,1291,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD8_PNL1_RNG1,,8B,M-K-1-08,6041,10,1Bc,1BC,2,PR033,,PB-20,J11,2,,,CI-A 049,P80,18,SN112498/0059,14,30201210004626,A,0x7e,0x10,+z down left 4,2,+z down left 2,2,10,green-3,29/30,5,b,1291,up center,,10,1,1,,,"For BmI/BpO, FED positions (POH bundles) 2b(4), 3b(6), 6a(19) contain only outer modules",,,,,
FPix_BpO_D1_BLD9_PNL1_RNG1,,9B,M-K-3-23,6040,12,1Bd,1BD,6,PR036,,PB-26,J11,2,,,CI-A 048,P82,20,SN112498/0042,14,30201210004626,B,0x7d,0x10,+z down left 3,3,+z down left 2,2,12,blue-1,25/26,6,b,1292,up center,,10,1,2,,,"For BmI/BpO, FED positions (POH bundles) 2b(4), 5a(17), 6a(19) contain only outer modules",,,,,
FPix_BpO_D1_BLD10_PNL1_RNG1,,10B,M-K-3-30,10015,11,1Bd,1BD,4,PR036,,PB-26,J11,2,,,CI-A 048,P82,21,SN112498/0054,14,30201210004626,B,0x7d,0x10,+z down left 3,2,+z down left 2,2,13,blue-1,1/2,7,t,1293,up center,,10,1,2,,,BmI = FPix Near -   --> down center crate,,,,,
FPix_BpO_D1_BLD11_PNL1_RNG1,,11B,M-Y-K-NN,10030,10,1Bd,1BD,2,PR036,,PB-26,J11,2,,,CI-A 048,P82,22,SN112498/0053,14,30201210004626,B,0x7d,0x10,+z down left 3,1,+z down left 2,2,14,blue-1,25/26,7,b,1293,up center,,10,1,2,,,BpI = FPix Near +   --> top crate,,,,,
FPix_BpO_D1_BLD1_PNL2_RNG2,HC4-Disk1-Outer,1T,M-N-3-32,6010,9,1Ta,1TA,7,PR132,,PB-11,J12,3,,,CI-A 026,P81,1,SN112498/0007,8,30201210004667,A,0x7b,0x10,+z up left 3,1,+z up left 2,2,1,orange-2,3/4,1,t,1287,up center,,9,1,1,BpO,,BmO = FPix Far -   --> bottom crate,,,,,
FPix_BpO_D1_BLD2_PNL2_RNG2,,2T,M-M-1-38,10059,8,1Ta,1TA,5,PR132,,PB-11,J12,3,,,CI-A 026,P81,2,SN112498/0021,8,30201210004667,A,0x7b,0x10,+z up left 3,2,+z up left 2,2,2,orange-2,27/28,1,b,1287,up center,,9,1,1,,,BpO = FPix Far+ --> up center crate,,,,,
FPix_BpO_D1_BLD3_PNL2_RNG2,,3T,M-I-3-11,10061,7,1Ta,1TA,3,PR132,,PB-11,J12,3,,,CI-A 026,P81,3,SN112498/0022,8,30201210004667,A,0x7b,0x10,+z up left 3,3,+z up left 2,2,3,orange-2,3/4,2,t,1288,up center,,9,1,1,,,,,,,,
FPix_BpO_D1_BLD4_PNL2_RNG2,,4T,M-O-1-16,10053,6,1Ta,1TA,1,PR132,,PB-11,J12,3,,,CI-A 026,P81,4,SN112498/0024,8,30201210004667,A,0x7b,0x10,+z up left 3,4,+z up left 2,2,4,orange-2,27/28,2,b,1288,up center,,9,1,1,,,,,,,,
