Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,
FPix_BmI_D1_BLD6_PNL1_RNG1,,6B,M-I-3-39,7028,12,1Bc,1BC,6,PR024,,PB-1,J11,2,,,CI-A 045,P44,12,SN122498/0035,14,30201210004691,A,0x7e,0x10,-z down left 4,4,-z down left 2,2,8,green-3,29/30,4,b,1297,down center,,10,1,1,,"top faces away from IP - is PNL2,  bottom faces towards IP - is PNL1",,,,,
FPix_BmI_D1_BLD7_PNL1_RNG1,,7B,M-I-4-27,7040,11,1Bc,1BC,4,PR024,,PB-1,J11,2,,,CI-A 045,P44,13,SN122498/0039,14,30201210004691,A,0x7e,0x10,-z down left 4,3,-z down left 2,2,9,green-3,5/6,5,t,1298,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD8_PNL1_RNG1,,8B,M-K-3-42,7026,10,1Bc,1BC,2,PR024,,PB-1,J11,2,,,CI-A 045,P44,18,SN122498/0027,14,30201210004691,A,0x7e,0x10,-z down left 4,2,-z down left 2,2,10,green-3,29/30,5,b,1298,down center,,10,1,1,,"For BmI/BpO, FED positions (POH bundles) 2b(4), 3b(6), 6a(19) contain only outer modules",,,,,
FPix_BmI_D1_BLD9_PNL1_RNG1,,9B,M-I-4-30,7048,12,1Bd,1BD,6,PR005,,PB-12,J11,2,,,CI-A 006,P120,20,SN122498/0052,14,30201210004691,B,0x7d,0x10,-z down left 3,3,-z down left 2,2,12,blue-1,25/26,6,b,1299,down center,,10,1,2,,"For BmI/BpO, FED positions (POH bundles) 2b(4), 5a(17), 6a(19) contain only outer modules",,,,,
FPix_BmI_D1_BLD10_PNL1_RNG1,,10B,M-I-4-41,7038,11,1Bd,1BD,4,PR005,,PB-12,J11,2,,,CI-A 006,P120,21,SN122498/0051,14,30201210004691,B,0x7d,0x10,-z down left 3,2,-z down left 2,2,13,blue-1,1/2,7,t,1300,down center,,10,1,2,,BmI = FPix Near -   --> down center crate,,,,,
FPix_BmI_D1_BLD11_PNL1_RNG1,,11B,M-L-4-01,7036,10,1Bd,1BD,2,PR005,,PB-12,J11,2,,,CI-A 006,P120,22,SN122498/0081,14,30201210004691,B,0x7d,0x10,-z down left 3,1,-z down left 2,2,14,blue-1,25/26,7,b,1300,down center,,10,1,2,,BpI = FPix Near +   --> top crate,,,,,
FPix_BmI_D1_BLD1_PNL2_RNG2,HC1-Disk1-Outer,1T,M-L-4-46,8010,9,1Ta,1TA,7,PR115,,PB-29,J12,3,,,CI-A 008,P97,1,SN122498/0045,8,30201210004620,A,0x7b,0x10,-z up left 3,1,-z up left 2,2,1,orange-2,3/4,1,t,1294,down center,,9,1,1,BmI,BmO = FPix Far -   --> bottom crate,,,,,
FPix_BmI_D1_BLD2_PNL2_RNG2,,2T,M-M-3-42,8026,8,1Ta,1TA,5,PR115,,PB-29,J12,3,,,CI-A 008,P97,2,SN122498/0041,8,30201210004620,A,0x7b,0x10,-z up left 3,2,-z up left 2,2,2,orange-2,27/28,1,b,1294,down center,,9,1,1,,BpO = FPix Far+ --> up center crate,,,,,
FPix_BmI_D1_BLD3_PNL2_RNG2,,3T,M-M-4-03,8044,7,1Ta,1TA,3,PR115,,PB-29,J12,3,,,CI-A 008,P97,3,SN122498/0046,8,30201210004620,A,0x7b,0x10,-z up left 3,3,-z up left 2,2,3,orange-2,3/4,2,t,1295,down center,,9,1,1,,,,,,,
FPix_BmI_D1_BLD4_PNL2_RNG2,,4T,M-K-3-33,8013,6,1Ta,1TA,1,PR115,,PB-29,J12,3,,,CI-A 008,P97,4,SN122498/0047,8,30201210004620,A,0x7b,0x10,-z up left 3,4,-z up left 2,2,4,orange-2,27/28,2,b,1295,down center,,9,1,1,,,,,,,
FPix_BmI_D1_BLD5_PNL2_RNG2,,5T,M-K-2-20,8033,11,1Tb,1TB,7,PR117,,PB-19,J12,3,,,CI-A 014,P98,4,SN122498/0047,8,30201210004620,B,0x7c,0x10,-z up left 3,4,-z up left 2,2,4,brown-4,31/32,2,b,1295,down center,,9,1,2,,mfec 1 --> bottom (lower mezzanine),,,,,
FPix_BmI_D1_BLD6_PNL2_RNG2,,6T,M-K-2-22,8029,10,1Tb,1TB,5,PR117,,PB-19,J12,3,,,CI-A 014,P98,5,SN122498/0028,8,30201210004620,B,0x7c,0x10,-z up left 4,1,-z up left 2,2,5,brown-4,7/8,3,t,1296,down center,,9,1,2,,mfec 2 --> down center (lower mezzanine),,,,,
FPix_BmI_D1_BLD7_PNL2_RNG2,,7T,M-L-2-12,8032,9,1Tb,1TB,4,PR117,,PB-19,J12,4,,,CI-A 014,P98,6,SN122498/0043,8,30201210004620,B,0x7c,0x10,-z up left 4,2,-z up left 2,2,6,orange-2,27/28,3,b,1296,down center,,9,1,2,,mfec 3 --> up center (upper mezzanine),,,,,
FPix_BmI_D1_BLD8_PNL2_RNG2,,8T,M-M-1-01,8065,8,1Tb,1TB,3,PR117,,PB-19,J12,3,,,CI-A 014,P98,6,SN122498/0043,8,30201210004620,B,0x7c,0x10,-z up left 4,2,-z up left 2,2,6,brown-4,31/32,3,b,1296,down center,,9,1,2,,mfec 4 --> top (upper mezzanine),,,,,
